N,Modelo,Marca,Ocurrencia marca,Dual Sim,Color,5G,RAM (GB),ROM (GB),Precio 
109,Xiaomi Redmi Note ,xiaomi,49,0,azul,0,12,512,5514
22,Motorola Edge 50 Fusion,motorola,24,0,azul,1,8,256,5522.22
142,Doogee Fire 6 Power,doogee,12,0,otro,0,20,256,5540.47
11,Infinix Note 50x ,infinix,11,1,gris,1,8,256,5570
244,Cubot Kingkong Power 5,cubot,14,1,negro,0,6,128,5618.84
160,Tecno Pova Slim ,tecno,4,1,otro,1,8,256,5661.04
79,Moto G85  ,motorola,24,0,azul,1,8,256,5699
179,Xiaomi Pocophone Poco M7,xiaomi,49,1,plata,0,8,256,5713
74,Xiaomi Poco X7 Pro,xiaomi,49,0,negro,1,12,256,5727
252,DOOGEE Fire 3 ,doogee,12,1,otro,0,12,64,5747.4
71,Fossibot F112 Pro ,fossibot,2,1,azul,0,24,256,5856.97
10,Infinix Note 50 Pro,infinix,11,0,morado,0,8,256,5881.6
130,Cubot KingKong 9 ,cubot,14,1,negro,0,12,256,5911.81
50,Realme 12 Pro ,realme,58,0,azul,0,12,512,5937.84
137,Xiaomi Redmi Note 13,xiaomi,49,1,negro,0,8,256,5974
91,Honor X7c 4g ,honor,22,1,white,0,8,256,5999
96,Motorola Moto G56 256,motorola,24,0,gris,0,8,256,5999
205,Motorola Edge 40 Neo,motorola,24,0,negro,1,8,256,5999
277,Realme 15t  ,realme,58,0,otro,1,8,256,5999
279,Realme 12  ,realme,58,0,verde,0,8,256,5999
2,Xiaomi Redmi Note 14s,xiaomi,49,0,negro,0,12,512,6047.02
78,Samsung Galaxy A26 ,samsung,26,0,amoled,1,8,256,6055
306,Realme 15t  ,realme,58,0,plata,1,8,256,6193.72
56,Xiaomi Pocophone Poco M7,xiaomi,49,1,negro,1,12,512,6199
112,Google Pixel 8A ,google,1,0,negro,0,8,128,6199
196,Honor X8c  ,honor,22,0,verde,0,8,256,6249
215,Oppo A5 Pro Azul,oppo,6,0,azul,0,8,256,6249
305,Realme P3  ,realme,58,0,gris,1,8,256,6428.58
164,Infinix Note 50 ,infinix,11,0,negro,0,8,256,6502.11
41,Xiaomi Redmi Note 14,xiaomi,49,1,negro,0,8,256,6522
72,Honor X8c 4g ,honor,22,0,negro,0,8,512,6671.94
182,Honor X8c 4g ,honor,22,1,verde,0,8,512,6727.08
5,Samsung Galaxy A36 ,samsung,26,0,negro,1,6,128,6799
287,Realme 12 Pro+ ,realme,58,0,beige,1,8,256,6815.4
207,Samsung Galaxy S23 Plus,samsung,26,0,negro,1,8,256,6917
33,Xiaomi Redmi Note ,xiaomi,49,0,morado,0,8,256,6937
9,Xiaomi 12 Pro ,xiaomi,49,1,gris,1,12,256,6983
312,Realme C53  ,realme,58,0,negro,0,12,256,6998
113,Samsung Galaxy A56 ,samsung,26,1,negro,1,8,256,6999
199,DOOGEE Blade10 Max ,doogee,12,0,negro,0,32,256,6999
115,Xiaomi Redmi Note 14,xiaomi,49,1,morado,1,8,256,7000
65,Honor 400 Lite ,honor,22,1,verde,1,12,256,7019
180,Realme 14 Pro ,realme,58,0,blanco,1,8,256,7076.8
282,Realme 14 Pro ,realme,58,0,gris,1,8,256,7080.65
129,Xiaomi Poco F6 ,xiaomi,49,0,verde,1,12,512,7168.2
162,Xiaomi Pocophone Poco X7,xiaomi,49,1,verde,1,12,512,7181.98
248,Tecno Pova 7 Pro,tecno,1,1,azul,1,12,256,7239.06
266,Tecno Pova 7 Pro,tecno,4,1,otro,1,12,256,7239.06
80,Samsung Galaxy A55 ,samsung,26,1,azul,1,8,128,7249
276,Realme P3 12 ,realme,58,0,otro,1,12,512,7284.56
57,Xiaomi Poco X7 Pro,xiaomi,49,0,negro,1,8,256,7325.72
286,Realme P3 12 ,realme,58,0,gris,1,12,512,7343.1
247,Doogee Blade 10 Max,doogee,12,0,otro,0,20,256,7349.4
